Cell name,Leiden cluster,Cell type,Developmental stage
cell_503,20,Rostral neurectoderm,E7.5
cell_506,18,Surface ectoderm,E7.5
cell_507,15,Intermediate mesoderm,E7.5
cell_508,3,Mesenchyme,E7.5
cell_509,9,Mesenchyme,E7.5
cell_510,9,Mixed mesoderm,E7.5
cell_512,12,Blood progenitors 1,E7.5
cell_514,50,Nascent mesoderm,E7.5
cell_515,12,Haematoendothelial progenitors,E7.5
cell_516,17,Rostral neurectoderm,E7.5
cell_519,12,Blood progenitors 2,E7.5
cell_520,24,Surface ectoderm,E7.5
cell_522,13,Pharyngeal mesoderm,E7.5
cell_524,16,Paraxial mesoderm,E7.5
cell_525,12,Blood progenitors 2,E7.5
cell_529,15,Caudal epiblast,E7.5
cell_530,24,Epiblast,E7.5
cell_532,3,Mesenchyme,E7.5
cell_534,50,Somitic mesoderm,E7.5
cell_535,28,Gut,E7.5
cell_536,17,Caudal epiblast,E7.5
cell_537,27,Rostral neurectoderm,E7.5
cell_538,3,Mesenchyme,E7.5
cell_539,12,Blood progenitors 2,E7.5
cell_541,32,Intermediate mesoderm,E7.5
cell_542,9,Mesenchyme,E7.5
cell_543,11,Intermediate mesoderm,E7.5
cell_546,9,Pharyngeal mesoderm,E7.5
cell_548,27,Rostral neurectoderm,E7.5
cell_549,6,Haematoendothelial progenitors,E7.5
cell_551,20,Rostral neurectoderm,E7.5
cell_555,32,Caudal epiblast,E7.5
cell_556,18,Rostral neurectoderm,E7.5
cell_557,3,Mesenchyme,E7.5
cell_558,32,Caudal epiblast,E7.5
cell_562,32,Intermediate mesoderm,E7.5
cell_563,17,Rostral neurectoderm,E7.5
cell_564,16,Mixed mesoderm,E7.5
cell_565,9,Mixed mesoderm,E7.5
cell_566,32,Caudal epiblast,E7.5
cell_567,19,Rostral neurectoderm,E7.5
cell_568,31,Rostral neurectoderm,E7.5
cell_571,17,Surface ectoderm,E7.5
cell_573,27,Rostral neurectoderm,E7.5
cell_576,20,Rostral neurectoderm,E7.5
cell_579,20,Rostral neurectoderm,E7.5
cell_580,3,Mesenchyme,E7.5
cell_582,32,Caudal Mesoderm,E7.5
cell_583,20,Rostral neurectoderm,E7.5
cell_584,43,Rostral neurectoderm,E7.5
cell_585,32,Caudal Mesoderm,E7.5
cell_589,50,Nascent mesoderm,E7.5
cell_590,32,Caudal epiblast,E7.5
cell_592,22,Erythroid1,E7.5
cell_594,15,Intermediate mesoderm,E7.5
cell_596,27,Rostral neurectoderm,E7.5
cell_597,65,Rostral neurectoderm,E7.5
cell_598,20,Rostral neurectoderm,E7.5
cell_602,15,Intermediate mesoderm,E7.5
cell_603,16,Paraxial mesoderm,E7.5
cell_605,16,Mixed mesoderm,E7.5
cell_606,9,Mixed mesoderm,E7.5
cell_607,20,Rostral neurectoderm,E7.5
cell_608,50,Nascent mesoderm,E7.5
cell_609,12,Blood progenitors 1,E7.5
cell_610,23,Gut,E7.5
cell_612,20,Rostral neurectoderm,E7.5
cell_613,9,Mesenchyme,E7.5
cell_615,17,Caudal epiblast,E7.5
cell_616,3,Mesenchyme,E7.5
cell_619,16,Paraxial mesoderm,E7.5
cell_621,15,Intermediate mesoderm,E7.5
cell_622,17,Rostral neurectoderm,E7.5
cell_624,15,Somitic mesoderm,E7.5
cell_625,6,Haematoendothelial progenitors,E7.5
cell_626,23,Gut,E7.5
cell_627,9,Pharyngeal mesoderm,E7.5
cell_628,50,Mixed mesoderm,E7.5
cell_630,9,Intermediate mesoderm,E7.5
cell_632,9,Mixed mesoderm,E7.5
cell_633,32,Caudal epiblast,E7.5
cell_634,16,Paraxial mesoderm,E7.5
cell_635,26,Nascent mesoderm,E7.5
cell_637,32,Caudal epiblast,E7.5
cell_639,9,Pharyngeal mesoderm,E7.5
cell_640,19,Rostral neurectoderm,E7.5
cell_641,26,Mesenchyme,E7.5
cell_642,12,Blood progenitors 2,E7.5
cell_644,24,Rostral neurectoderm,E7.5
cell_645,15,Caudal epiblast,E7.5
cell_646,16,Paraxial mesoderm,E7.5
cell_647,24,Caudal neurectoderm,E7.5
cell_648,19,Rostral neurectoderm,E7.5
cell_649,17,Caudal neurectoderm,E7.5
cell_651,27,Rostral neurectoderm,E7.5
cell_652,16,Paraxial mesoderm,E7.5
cell_653,16,Mixed mesoderm,E7.5
cell_654,17,Rostral neurectoderm,E7.5
cell_658,50,Intermediate mesoderm,E7.5
cell_663,15,Intermediate mesoderm,E7.5
cell_665,15,Intermediate mesoderm,E7.5
cell_667,9,Mesenchyme,E7.5
cell_670,3,Mesenchyme,E7.5
cell_671,15,Somitic mesoderm,E7.5
cell_673,3,Mesenchyme,E7.5
cell_676,15,Caudal epiblast,E7.5
cell_677,10,Paraxial mesoderm,E7.5
cell_678,17,Caudal neurectoderm,E7.5
cell_679,3,Mesenchyme,E7.5
cell_681,17,Caudal Mesoderm,E7.5
cell_682,19,Rostral neurectoderm,E7.5
cell_683,20,Rostral neurectoderm,E7.5
cell_684,9,Mesenchyme,E7.5
cell_686,18,Surface ectoderm,E7.5
cell_689,3,Mesenchyme,E7.5
cell_690,17,Caudal epiblast,E7.5
cell_691,12,Blood progenitors 2,E7.5
cell_694,3,Mesenchyme,E7.5
cell_695,50,Nascent mesoderm,E7.5
