Cell name,Leiden cluster,Cell type,
YX_1009901003_E11,22,Muscle,
YX_1009901003_E13,5,Cathepsin,
YX_1009901003_E17,36,Neural,
YX_1009901003_E19,17,Neural,
YX_1009901003_E2,23,Epidermal_prog1,
YX_1009901003_E20,0,Muscle,
YX_1009901003_E22,22,Muscle,
YX_1009901003_E23,39,Neoblast,
YX_1009901003_E24,47,Parenchymal,
YX_1009901003_E4,26,Neoblast,
YX_1009901003_E6,39,Gland,
YX_1009901003_E7,0,Muscle,
YX_1009901003_E8,13,Muscle,
YX_1009901003_E9,6,Muscle,
YX_1009901003_F1,1,Neoblast,
YX_1009901003_F10,0,Muscle,
YX_1009901003_F12,2,Parenchymal,
YX_1009901003_F13,20,Neural,
YX_1009901003_F17,0,Muscle,
YX_1009901003_F19,13,Muscle,
YX_1009901003_F2,16,Epidermal1,
YX_1009901003_F20,14,Neural,
YX_1009901003_F21,0,Muscle,
YX_1009901003_F22,0,Muscle,
YX_1009901003_F23,17,Parenchymal,
YX_1009901003_F4,0,Muscle,
YX_1009901003_F5,9,Muscle,
YX_1009901003_F6,7,Neural,
YX_1009901003_F7,9,Muscle,
YX_1009901003_F8,27,Neoblast,
YX_1009901003_G1,22,Muscle,
YX_1009901003_G12,6,Muscle,
YX_1009901003_G13,5,Cathepsin,
YX_1009901003_G14,27,Neoblast,
YX_1009901003_G15,9,Muscle,
YX_1009901003_G16,1,Neoblast,
YX_1009901003_G17,14,Neural,
YX_1009901003_G18,10,Muscle,
YX_1009901003_G19,9,Muscle,
YX_1009901003_G20,20,Neural,
YX_1009901003_G21,26,Neoblast,
YX_1009901003_G22,14,Neural,
YX_1009901003_G23,7,Neural,
YX_1009901003_G24,16,Epidermal3,
YX_1009901003_G3,22,Muscle,
YX_1009901003_G4,44,Neural,
YX_1009901003_G6,7,Neural,
